@relation prob_ec

@attribute X1 {0,1}
@attribute X2 {0,1}
@attribute Y {0,1}

@data
0,0,0
1,1,0
1,0,1
0,1,1
0,0,0
0,0,0
1,1,0
1,1,0
0,1,1
0,1,1
1,1,0
1,0,1
0,0,0
1,0,1
0,0,0
1,1,0
0,0,0
0,1,1
1,0,1
0,1,1
0,0,0
0,0,0
0,0,0
1,0,1
1,1,0
1,1,0
0,1,1
1,0,1
1,1,0
0,1,1
0,1,1
1,0,1
1,1,0
1,0,1
1,1,0
0,1,1
1,0,1
0,1,1
1,0,1
1,1,0
1,0,1
1,0,1
0,0,0
1,0,1
1,1,0
1,0,1
1,1,0
0,1,1
0,0,0
1,1,0
1,0,1
1,0,1
0,1,1
0,1,1
1,1,0
0,1,1
0,0,0
1,0,1
1,1,0
0,1,1
0,0,0
0,0,0
1,0,1
1,0,1
1,1,0
1,0,1
1,1,0
1,1,0
0,0,0
1,0,1
0,0,0
0,1,1
0,0,0
0,0,0
1,0,1
0,1,1
0,0,0
0,0,0
1,1,0
0,0,0
1,1,0
0,0,0
1,0,1
1,0,1
0,1,1
0,0,0
0,0,0
0,0,0
0,1,1
1,1,0
1,1,0
0,0,0
0,0,0
0,1,1
0,0,0
0,0,0
0,0,0
1,0,1
0,0,0
0,0,0
1,0,1
0,0,0
0,1,1
0,1,1
1,0,1
0,1,1
1,0,1
1,0,1
1,1,0
1,0,1
1,1,0
1,1,0
1,0,1
0,1,1
1,1,0
0,0,0
0,1,1
0,0,0
0,0,0
1,0,1
1,0,1
0,0,0
0,0,0
1,0,1
1,0,1
1,1,0
0,1,1
0,0,0
0,0,0
1,0,1
0,1,1
1,1,0
0,0,0
0,1,1
0,0,0
1,1,0
0,0,0
1,0,1
0,1,1
1,0,1
0,0,0
0,0,0
1,0,1
0,0,0
0,1,1
0,0,0
0,1,1
1,0,1
0,1,1
1,0,1
0,0,0
1,0,1
1,0,1
1,0,1
1,1,0
1,1,0
1,0,1
0,1,1
1,1,0
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,0,0
0,1,1
1,1,0
0,1,1
1,0,1
0,1,1
0,1,1
0,0,0
0,1,1
0,1,1
0,0,0
1,1,0
1,1,0
1,0,1
1,1,0
1,1,0
1,0,1
1,1,0
0,1,1
1,0,1
0,1,1
0,1,1
0,0,0
1,1,0
1,1,0
0,1,1
0,1,1
1,0,1
1,1,0
1,0,1
1,1,0
1,1,0
1,1,0
0,1,1
0,0,0
0,0,0
1,1,0
0,1,1
0,0,0
0,1,1
0,1,1
1,0,1
0,1,1
1,1,0
0,1,1
0,0,0
0,0,0
0,0,0
1,0,1
1,1,0
1,1,0
1,0,1
0,0,0
1,1,0
1,1,0
0,1,1
1,0,1
0,1,1
1,0,1
1,1,0
0,0,0
1,1,0
0,0,0
1,0,1
0,0,0
0,1,1
0,0,0
1,0,1
0,1,1
1,1,0
1,0,1
0,0,0
1,1,0
0,1,1
0,0,0
0,1,1
0,0,0
0,1,1
0,0,0
1,0,1
1,0,1
1,0,1
0,1,1
0,1,1
0,1,1
0,0,0
0,1,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
0,1,1
0,0,0
0,1,1
1,1,0
1,0,1
0,0,0
0,0,0
1,1,0
0,0,0
1,0,1
1,0,1
1,1,0
1,0,1
1,1,0
0,0,0
0,1,1
0,1,1
1,0,1
1,0,1
1,0,1
1,1,0
1,1,0
1,0,1
0,0,0
0,1,1
1,0,1
0,1,1
0,1,1
0,0,0
0,1,1
1,0,1
1,1,0
1,1,0
1,1,0
1,0,1
0,1,1
1,0,1
1,1,0
1,1,0
1,1,0
1,0,1
0,0,0
1,1,0
1,0,1
0,1,1
1,1,0
1,0,1
0,1,1
1,0,1
0,0,0
1,0,1
1,0,1
1,1,0
0,1,1
0,0,0
0,1,1
1,1,0
1,0,1
0,1,1
1,1,0
0,1,1
1,1,0
0,0,0
1,0,1
1,1,0
0,1,1
0,1,1
0,1,1
1,0,1
0,1,1
0,1,1
1,1,0
1,0,1
1,1,0
0,0,0
1,0,1
0,1,1
1,0,1
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
0,0,0
1,0,1
1,0,1
0,1,1
1,0,1
0,1,1
0,1,1
1,0,1
0,1,1
0,0,0
0,1,1
0,0,0
0,0,0
1,1,0
0,0,0
0,0,0
1,0,1
0,0,0
1,0,1
1,0,1
1,1,0
1,1,0
1,0,1
1,0,1
1,0,1
1,0,1
1,1,0
0,1,1
1,1,0
1,0,1
1,1,0
0,1,1
1,0,1
0,1,1
1,0,1
0,1,1
0,1,1
1,0,1
1,0,1
1,1,0
0,0,0
1,1,0
1,1,0
1,0,1
0,1,1
1,1,0
1,0,1
0,0,0
0,1,1
0,1,1
0,0,0
0,1,1
1,1,0
1,0,1
0,0,0
0,0,0
0,1,1
1,1,0
1,1,0
1,0,1
1,1,0
1,1,0
1,1,0
0,1,1
1,0,1
0,0,0
1,1,0
1,0,1
1,0,1
1,0,1
1,1,0
0,0,0
0,1,1
0,1,1
1,0,1
0,1,1
0,1,1
0,1,1
0,0,0
0,1,1
1,0,1
1,0,1
1,0,1
0,1,1
0,0,0
0,0,0
1,0,1
1,0,1
0,1,1
0,0,0
0,1,1
1,0,1
0,1,1
0,0,0
1,0,1
0,1,1
1,1,0
0,1,1
1,0,1
0,0,0
0,0,0
0,1,1
0,0,0
0,1,1
1,0,1
1,1,0
0,0,0
0,0,0
0,1,1
0,1,1
1,0,1
0,0,0
0,0,0
0,1,1
1,0,1
1,0,1
0,0,0
0,1,1
1,0,1
0,1,1
1,1,0
1,0,1
1,0,1
1,1,0
1,1,0
1,0,1
1,0,1
1,1,0
1,1,0
1,0,1
1,0,1
1,1,0
0,1,1
0,1,1
0,1,1
0,1,1
1,1,0
0,1,1
0,0,0
1,0,1
0,0,0
1,0,1
1,1,0
1,0,1
0,1,1
1,1,0
1,0,1
0,1,1
0,0,0
1,1,0
0,1,1
1,1,0
1,1,0
1,1,0
0,1,1
0,0,0
0,0,0
1,0,1
0,0,0
0,1,1
1,0,1
0,1,1
0,1,1
1,0,1
1,1,0
0,1,1
1,1,0
1,0,1
0,1,1
1,1,0
0,0,0
1,0,1
1,0,1
1,1,0
0,1,1
1,0,1
1,1,0
1,1,0
1,1,0
1,0,1
0,0,0
0,0,0
0,0,0
1,0,1
1,0,1
1,0,1
1,0,1
0,0,0
1,0,1
0,1,1
1,0,1
1,0,1
1,1,0
0,1,1
1,1,0
1,1,0
1,0,1
1,1,0
0,1,1
1,1,0
0,0,0
1,0,1
0,0,0
0,1,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
0,1,1
0,0,0
0,1,1
1,0,1
1,1,0
0,1,1
1,1,0
0,1,1
1,0,1
0,1,1
0,1,1
0,0,0
0,0,0
0,0,0
0,1,1
0,1,1
1,0,1
1,0,1
0,0,0
0,0,0
0,0,0
1,1,0
1,0,1
0,1,1
0,0,0
0,0,0
1,0,1
1,0,1
0,0,0
0,1,1
1,1,0
1,0,1
0,1,1
1,0,1
1,1,0
0,0,0
0,0,0
1,0,1
0,1,1
0,1,1
0,0,0
0,1,1
0,0,0
0,1,1
0,1,1
0,1,1
1,1,0
0,0,0
1,0,1
1,1,0
1,0,1
0,1,1
0,1,1
1,1,0
0,1,1
0,0,0
1,1,0
0,1,1
1,0,1
0,0,0
0,0,0
0,0,0
1,1,0
0,1,1
0,1,1
0,1,1
0,1,1
0,0,0
1,0,1
0,0,0
1,0,1
